File Name,Status,Score,Triggered Flags
file_174_System.Web.Entity.Design.dll,BENIGN,-2.91,"F1, F3, F9"
file_175_System.Web.Extensions.dll,BENIGN,5.68,"F3, F9, F11"
file_176_System.Web.Extensions.Design.dll,BENIGN,4.34,"F3, F9, F11"
file_177_System.Web.Mobile.dll,BENIGN,4.03,"F3, F9, F11"
file_178_System.Web.RegularExpressions.dll,BENIGN,-10.0,"F1, F9"
file_179_System.Web.Routing.dll,BENIGN,-3.12,"F1, F3, F9"
file_17_Microsoft.DirectX.Diagnostics.dll,BENIGN,-8.06,"F1, F3"
file_180_System.Web.Services.dll,BENIGN,-3.33,"F1, F3, F9"
file_181_System.Windows.Forms.dll,BENIGN,5.93,"F3, F9, F11"
file_182_System.Windows.Presentation.dll,BENIGN,-2.92,"F1, F3, F9"
file_183_System.Workflow.Activities.dll,BENIGN,5.77,"F3, F9, F11"
file_184_System.Workflow.ComponentModel.dll,BENIGN,5.67,"F3, F9, F11"
file_185_System.Workflow.Runtime.dll,BENIGN,-3.03,"F1, F3, F9"
file_186_System.WorkflowServices.dll,BENIGN,6.0,"F3, F9, F11"
file_187_System.XML.dll,BENIGN,5.3,"F3, F9, F11"
file_188_System.Xml.Linq.dll,BENIGN,-2.58,"F1, F3, F9"
file_189_UIAutomationClient.dll,BENIGN,5.09,"F3, F9, F11"
file_18_Microsoft.DirectX.Direct3D.dll,BENIGN,0.26,"F3, F11"
file_190_UIAutomationClientsideProviders.dll,BENIGN,5.26,"F3, F9, F11"
file_191_UIAutomationProvider.dll,BENIGN,-10.0,"F1, F9"
file_192_UIAutomationTypes.dll,BENIGN,-10.0,"F1, F9"
file_193_WindowsBase.dll,BENIGN,4.45,"F3, F9, F11"
file_194_WindowsFormsIntegration.dll,BENIGN,-2.48,"F1, F3, F9"
file_195_WsatConfig.exe,BENIGN,3.91,"F3, F9, F11"
file_196_Accessibility.ni.dll,BENIGN,-3.0,"F1, F9, F10"
file_197_CustomMarshalers.ni.dll,BENIGN,51.38,"F3, F9, F10, F11"
file_198_Microsoft.PowerShell.Security.ni.dll,BENIGN,54.08,"F3, F9, F10, F11"
file_199_Microsoft.PowerShell.Commands.Utility.ni.dll,BENIGN,56.0,"F3, F9, F10, F11"
file_19_Microsoft.DirectX.Direct3DX.dll,BENIGN,14.54,"F3, F11"
file_1_explorer.exe,BENIGN,54.62,"F3, F6, F9, F11"
file_200_Microsoft.PowerShell.Commands.Management.ni.dll,BENIGN,56.51,"F3, F9, F10, F11"
file_201_Microsoft.PowerShell.Commands.Diagnostics.ni.dll,BENIGN,55.5,"F3, F9, F10, F11"
file_202_Microsoft.PowerShell.ConsoleHost.ni.dll,BENIGN,56.62,"F3, F9, F10, F11"
file_203_Microsoft.VisualBasic.ni.dll,BENIGN,57.05,"F3, F9, F10, F11"
file_204_Microsoft.WSMan.Management.ni.dll,BENIGN,56.4,"F3, F9, F10, F11"
file_205_Microsoft.WSMan.Runtime.ni.dll,BENIGN,-3.0,"F1, F9, F10"
file_206_mscorlib.ni.dll,BENIGN,57.11,"F3, F9, F10, F11"
file_207_PresentationCore.ni.dll,BENIGN,57.0,"F3, F9, F10, F11"
file_208_PresentationFramework.ni.dll,BENIGN,57.4,"F3, F9, F10, F11"
file_209_PresentationFramework.Aero.ni.dll,BENIGN,55.4,"F3, F9, F10, F11"
file_20_Microsoft.DirectX.Direct3DX.dll,BENIGN,14.86,"F3, F11"
file_210_srmlib.ni.dll,BENIGN,13.45,"F1, F3, F9, F10"
file_211_System.ni.dll,BENIGN,56.96,"F3, F9, F10, F11"
file_212_System.Configuration.Install.ni.dll,BENIGN,52.24,"F3, F9, F10, F11"
file_213_System.Configuration.ni.dll,BENIGN,55.63,"F3, F9, F10, F11"
file_214_System.Core.ni.dll,BENIGN,56.23,"F3, F9, F10, F11"
file_215_System.Data.ni.dll,BENIGN,56.88,"F3, F9, F10, F11"
file_216_System.Data.SqlXml.ni.dll,BENIGN,56.86,"F3, F9, F10, F11"
file_217_System.Deployment.ni.dll,BENIGN,56.37,"F3, F9, F10, F11"
